author_id,name
0,Manish Singh 0001
1,Tien-Tsin Wong
2,Sylvia C. Pont
3,Daniel C. Alexander
4,Kazuhiro Fukui
5,Gaurav Srivastava 0004
6,Johnny Park
7,Avinash C. Kak
8,Birgi Tamersoy
9,J. K. Aggarwal
10,Zhengyou Zhang
11,Juergen Gall
12,Richard I. Hartley
13,Tomaso A. Poggio
14,Shimon Ullman
15,Todd E. Zickler
16,Jrgen Beyerer
17,Szymon Rusinkiewicz
18,Amit K. Agrawal
19,Rui Shen 0002
20,Gaopeng Gou
21,Irene Cheng 0001
22,Anup Basu
23,Matti Pietikinen
24,Ronen Basri
25,Christopher Zach
26,Jan J. Koenderink
27,Marshall F. Tappen
28,Yu-Wing Tai
29,Shing-Chow Chan
30,Peter F. Sturm
31,Sven J. Dickinson
32,Ali Shokoufandeh
33,Kaleem Siddiqi
34,Ying Nian Wu
35,Sanjeev J. Koppal
36,Rajeev Ramanath
37,Mark S. Drew
38,Samuel W. Hasinoff
39,Shoji Tominaga
40,Xiaogang Wang 0001
41,David Vernon
42,Robby T. Tan
43,Tony Lindeberg
44,Bernd Neumann
45,Neel Joshi
46,Reinhard Koch
47,Samunda Perera
48,Nick Barnes
49,Alexander Zelinsky
50,Fabian Langguth
51,Michael Goesele
52,James Bonaiuto
53,Hanno Ackermann
54,Franois Chaumette
55,Anuj Srivastava
56,Sebastian Kurtek
57,Eric Klassen
58,Michael Maire
59,Eisaku Maeda
60,Gary A. Atkinson
61,Jan-Olof Eklundh
62,Ping Tan
63,Marcelo Bertalmo
64,Vicent Caselles
65,Simon Masnou
66,Guillermo Sapiro
67,Guoshen Yu
68,Gunnar Sparr
69,Kazuo Murota
70,David C. Schneider
71,John Wright 0001
72,Srikumar Ramalingam
73,Yali Amit
74,Pedro F. Felzenszwalb
75,Darko S. Matovski
76,Mark S. Nixon
77,John N. Carter
78,Thomas Brox
79,Rodrigo Benenson
80,Silvio Savarese
81,Sanjiv Kumar
82,Matthew Turk 0001
83,Christoph Bregler
84,Stephen Lin 0001
85,Zhigang Zhu
86,Manmohan Chandraker
87,Jamie Shotton
88,Pushmeet Kohli
89,Adrian Barbu
90,Kokichi Sugihara
91,Jason Lawrence
92,Min Sun 0001
93,Xiaofeng Ren
94,Ron Kimmel
95,Kristin J. Dana
96,Tom E. Bishop
97,Paolo Favaro
98,Peer Stelldinger
99,Longin Jan Latecki
100,Yanxi Liu 0001
101,Michael Werman
102,Dikpal Reddy
103,Ashok Veeraraghavan
104,Guna Seetharaman
105,Aswin C. Sankaranarayanan
106,Richard G. Baraniuk
107,Pascal Mamassian
108,Kevin Kser
109,M. Fatih Demirci
110,Yanghai Tsin
111,Boris Flach
112,Vclav Hlavc
113,Jiaya Jia
114,Yonghuai Liu
115,Ralph R. Martin
116,Liang Chen 0012
117,Xuejun Ren
118,Longzhuang Li
119,Irving Biederman
120,Mohit Gupta 0001
121,Abhijeet Ghosh
122,Bo Zheng
123,Bohyung Han
124,William Robson Schwartz
125,Matthew Brown 0001
126,Tinne Tuytelaars
127,Cees G. M. Snoek
128,Arnold W. M. Smeulders
129,Zhi-Yong Liu 0001
130,Peter Karasev
131,Ivan Kolesov
132,Allen R. Tannenbaum
133,Kenichi Kanatani
134,Francisco J. Estrada
135,Leonid Sigal
136,Bastian Goldluecke
137,Daisuke Miyazaki
138,James H. Elder
139,Ramanarayanan Viswanathan 0002
140,Andrea Vedaldi
141,Tomokazu Takahashi
142,Hiroshi Murase
143,Michael S. Langer
144,Christian Micheloni
145,Gian Luca Foresti
146,Joseph L. Mundy
147,Yuri Boykov
148,Svetlana Lazebnik
149,David Gallup
150,Marc Pollefeys
151,Michael F. Cohen
152,Richard Szeliski
153,Robert B. Fisher
154,Federico Tombari
155,Michael R. M. Jenkin
156,Gregory F. Welch
157,Chunhua Shen
158,Anton van den Hengel
159,Micah K. Johnson
160,Leo Dorst
161,Larry H. Matthies
162,David Young
163,Stephen J. Maybank
164,Simon Baker
165,Pramod K. Varshney
166,Sudipta N. Sinha
167,Denis Laurendeau
168,Yasutaka Furukawa
169,Wanqing Li 0001
170,Zicheng Liu 0001
171,Frank M. Caimi
172,Lorenzo Torresani
173,Yasuyuki Matsushita
174,Marina Alterman
175,Tali Treibitz
176,Nils Hasler
177,Andrew Hogue
178,Davide Scaramuzza 0001
179,Peter Meer
180,Sushil Mittal
181,Vlad I. Morariu
182,Vasu Parameswaran
183,Takahiko Horiuchi
184,Songde Ma
185,Zhanyi Hu
186,James J. Clark
187,Takayuki Okatani
188,Konrad Schindler
189,Wolfgang Frstner
190,Fabio Camilli
191,Emmanuel Prados
192,Annika Lang
193,Chenyang Xu 0001
194,Jerry L. Prince
195,Ruzena Bajcsy
196,Sing Bing Kang
197,Berthold K. P. Horn
198,Ivo Ihrke
199,Dana H. Ballard
200,Marc Ebner
201,Zhe Lin 0001
202,Zhuolin Jiang
203,Larry S. Davis
204,Takio Kurita
205,Robert J. Woodham
206,Rama Chellappa
207,Pavan K. Turaga
208,Michael H. Brill
209,Visesh Chari
210,Isaac Weiss
211,Jun-Sik Kim 0001
212,Wilson Truccolo
213,Ian S. Curthoys
214,Hamish G. MacDougall
