paper_id,key,title,type,ee,pages
0,reference/vision/X14bd,Curvedness.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100117,159
1,reference/vision/Singh14,Transparency and Translucency.,incollection,https://doi.org/10.1007/978-0-387-31439-6_559,815-819
2,reference/vision/X14ii,Surface Orientation Histogram (Discrete Version of EGI).,incollection,https://doi.org/10.1007/978-0-387-31439-6_100229,781
3,reference/vision/X14m,Appearance Scanning.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100189,36
4,reference/vision/Wong14,Image-Based Lighting.,incollection,https://doi.org/10.1007/978-0-387-31439-6_14,387-390
5,reference/vision/X14gt,Radiometric Camera Calibration.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100172,658
6,reference/vision/Pont14b,Surface Roughness.,incollection,https://doi.org/10.1007/978-0-387-31439-6_539,781-782
7,reference/vision/Alexander14,Image Registration.,incollection,https://doi.org/10.1007/978-0-387-31439-6_194,380-385
8,reference/vision/Fukui14,Subspace Methods.,incollection,https://doi.org/10.1007/978-0-387-31439-6_708,777-781
9,reference/vision/X14if,Structure-from-Motion (SfM).,incollection,https://doi.org/10.1007/978-0-387-31439-6_100254,775
10,reference/vision/X14w,Body Configuration Recovery.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100211,59
11,reference/vision/SrivastavaPKTA14,Multi-camera Human Action Recognition.,incollection,https://doi.org/10.1007/978-0-387-31439-6_776,501-511
12,reference/vision/Zhang14q,Iterative Closest Point (ICP).,incollection,https://doi.org/10.1007/978-0-387-31439-6_179,433-434
13,reference/vision/Gall14,Simulated Annealing.,incollection,https://doi.org/10.1007/978-0-387-31439-6_680,737-741
14,reference/vision/X14ew,Multisensor Data Fusion.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100091,516
15,reference/vision/X14hp,Semidefinite Optimization.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100253,716
16,reference/vision/Hartley14,Projective Reconstruction.,incollection,https://doi.org/10.1007/978-0-387-31439-6_784,640-651
17,reference/vision/X14au,Computer Vision.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100073,145
18,reference/vision/X14ay,Conditional Random Fields.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100233,146
19,reference/vision/X14je,Underwater Radiative Transfer Processes.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100197,837
20,reference/vision/PoggioU14,Machine Recognition of Objects.,incollection,https://doi.org/10.1007/978-0-387-31439-6_793,469-472
21,reference/vision/X14fz,Partitioning.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100059,589
22,reference/vision/X14gv,Recognition-By-Components (RBC) Theory.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100121,663
23,reference/vision/X14gb,Perspective Projection.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100003,592
24,reference/vision/X14gn,Projection Matrix.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100004,639
25,reference/vision/X14av,Computing Architectures for Machine Perception.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100298,145
26,reference/vision/X14in,Surveillance Camera.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100162,782
27,reference/vision/X14ez,Network Camera.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100161,523
28,reference/vision/Zickler14,Photometric Invariants.,incollection,https://doi.org/10.1007/978-0-387-31439-6_544,599-603
29,reference/vision/X14dl,Interface Reflection.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100181,422
30,reference/vision/Beyerer14,Mirrors.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100,483-486
31,reference/vision/Rusinkiewicz14,Reflectance Models.,incollection,https://doi.org/10.1007/978-0-387-31439-6_537,674-677
32,reference/vision/Agrawal14,Multi-focus Images.,incollection,https://doi.org/10.1007/978-0-387-31439-6_445,511-513
33,reference/vision/ShenGCB14,Active Calibration.,incollection,https://doi.org/10.1007/978-0-387-31439-6_283,5
34,reference/vision/Pietikainen14,Texture Recognition.,incollection,https://doi.org/10.1007/978-0-387-31439-6_328,789-793
35,reference/vision/X14jv,Volumetric Texture.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100072,874
36,reference/vision/Agrawal14a,Vignetting.,incollection,https://doi.org/10.1007/978-0-387-31439-6_563,854-856
37,reference/vision/Basri14,Photometric Stereo.,incollection,https://doi.org/10.1007/978-0-387-31439-6_254,603-608
38,reference/vision/Zach14,Dense Reconstruction.,incollection,https://doi.org/10.1007/978-0-387-31439-6_197,179-181
39,reference/vision/X14dh,Implicit Polynomial Surface.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100120,399
40,reference/vision/X14ax,Concurrent Mapping and Localization (CML).,incollection,https://doi.org/10.1007/978-0-387-31439-6_100077,146
41,reference/vision/Koenderink14c,Osculating Paraboloids.,incollection,https://doi.org/10.1007/978-0-387-31439-6_781,575-580
42,reference/vision/X14s,Backscattering.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100957,43
43,reference/vision/X14bm,Diffusely Scattered Reflectance.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100959,210
44,reference/vision/Tappen14a,Intrinsic Images.,incollection,https://doi.org/10.1007/978-0-387-31439-6_245,424-425
45,reference/vision/X14bf,Deconvolution.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100166,171
46,reference/vision/X14dm,Interpretation of Line Drawings.,incollection,https://doi.org/10.1007/978-0-387-31439-6_100113,423
47,reference/vision/Tai14,Blur Estimation.,incollection,https://doi.org/10.1007/978-0-387-31439-6_509,57-59
